SUB_TYPE,SUB_TYPE_DESC,DATA_STATUS,DATA_STATUS_DISPLAY,STATUS_CLASS,ADDRESS,URL,LAST_UPDATED,LATITUDE,LONGITUDE,NEIGHBORHOOD
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,2502 NORTH BEND RD                   ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1400411,09/08/2017 12:00:00 AM +0000,39.19301296,-84.56848019,MT. AIRY
FORECLOS,FORECLOSED PROPERTY,FORCLOSD,Occupied - Foreclosure Filed - Still Occupied,OPEN,504 MCALPIN AV                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700558,09/08/2017 12:00:00 AM +0000,39.15071499,-84.52577027,CLIFTON
FORECLOS,FORECLOSED PROPERTY,CLOSE-V ,Case Closed - Building Vacant,CLOS,610 BURR OAK ST                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600607,09/08/2017 12:00:00 AM +0000,39.17450464,-84.51499956,SPRING GROVE VILLAGE
FORECLOS,FORECLOSED PROPERTY,RENEWAL ,Renewal of Previous Year Registration,,1767 MONTEREY CT                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600276,09/08/2017 12:00:00 AM +0000,39.17669276,-84.5498352,COLLEGE HILL
FORECLOS,FORECLOSED PROPERTY,RENEWAL ,Renewal of Previous Year Registration,,3588 JANLIN CT                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600238,09/08/2017 12:00:00 AM +0000,39.14705956,-84.61783601,WESTWOOD
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,3426 TRIMBLE AV                      ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1600042,09/08/2017 12:00:00 AM +0000,39.13926674,-84.46652248,EVANSTON
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,4663 NORTH EDGEWOOD AV               ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1600038,09/08/2017 12:00:00 AM +0000,39.17453729,-84.51628128,SPRING GROVE VILLAGE
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,523 WOODLAWN AV                     ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500917,09/08/2017 12:00:00 AM +0000,39.10168999,-84.56836087,EAST PRICE HILL
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,1545 JOSEPH ST                       ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500707,09/08/2017 12:00:00 AM +0000,39.17259508,-84.47061284,BOND HILL
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,1944 ROCKLAND AV                     ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500752,09/08/2017 12:00:00 AM +0000,39.08948441,-84.38692674,MT. WASHINGTON
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,4722 CHICKERING AV                   ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500651,09/08/2017 12:00:00 AM +0000,39.17526311,-84.51196575,SPRING GROVE VILLAGE
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,1628 BRUCE AV                        ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500531,09/08/2017 12:00:00 AM +0000,39.16741363,-84.54309773,NORTHSIDE
