ADDRESS,LATITUDE,LONGITUDE,prop class,parcel amt
231 DORCHESTER AV,39.11770571,-84.50751643,550,1
5743 COLERAIN AV,39.19859548,-84.5786686,510,1
5480 VOGEL RD,39.19208523,-84.58012414,555,1
5621 KIRBY AV,39.19274809,-84.57331811,510,1
6261 BANNING RD,39.20310616,-84.56414276,550,1
5743 COLERAIN AV,39.19859548,-84.5786686,510,1
2370 WHITEWOOD LN,39.19663014,-84.56939142,510,1
1924 LILLIE PL,39.14957834,-84.55276565,510,1
5628 BRAMBLE AV,39.15241336,-84.39946882,510,1
6100 PRENTICE ST,39.1596568,-84.39063422,399,1
4822 MORSE ST,39.12215505,-84.41482354,510,1
3861 KIRKUP AV,39.18631181,-84.40557613,510,1
6724 KENNEDY AV,39.19254373,-84.41454331,510,1
6603 BANTRY AV,39.18748291,-84.41717206,510,1
3639 SOLAR VISTA PL,39.18452434,-84.41239811,500,2
6224 ROGERS PARK PL,39.18536875,-84.4164792,510,1
3861 KIRKUP AV,39.18631181,-84.40557613,510,1
3628 EVANSTON AV,39.14529561,-84.4624272,510,1
3559 LARKSPUR AV,39.14271779,-84.45586967,350,3
2169 CRANE AV,39.14130592,-84.46157525,510,1
727 PURCELL AV,39.10517981,-84.56501966,510,1
450 CONSIDINE AV,39.09942196,-84.56386728,510,1
3781 ST LAWRENCE AV,39.11007456,-84.57620059,510,1
817 CONSIDINE AV,39.10642592,-84.56367446,510,1
3420 KENSINGTON PL,39.10950444,-84.56645797,510,1
1264 FAIRBANKS AV,39.11557608,-84.56741548,510,1
831 KIRBERT AV,39.10736048,-84.57593013,500,5
808 KIRBERT AV,39.10681453,-84.57543815,510,1
714 WOODLAWN AV,39.10357174,-84.56771829,510,1
311 PURCELL AV,39.09641671,-84.56406107,555,1
1437 AMBROSE AV,39.20054318,-84.54354243,510,1
1953 CONNECTICUT AV,39.20028826,-84.55734655,550,1
1206 TOLUCA CT,39.20087285,-84.53697624,510,1
7887 KNOLLWOOD LN,39.21410739,-84.53478647,550,1
6020 TAHITI DR,39.19723585,-84.53107184,520,1
6534 MONTEVISTA DR,39.2076487,-84.52800179,550,1
1409 CEDAR AV,39.19809907,-84.54259954,510,1
7969 CHERRYWOOD CT,39.21548879,-84.53619629,520,1
7901 BOBOLINK DR,39.21448478,-84.53581768,550,2
4313 VINE ST,39.16279679,-84.50375969,401,1
234 SEYMOUR AV,39.19615449,-84.48405005,401,1
177 ESCALON ST,39.19989434,-84.47942252,510,1
5850 BRYSON ST,39.06512294,-84.42757438,510,1
1120 FRANKLIN AV,39.17484913,-84.48000489,400,2
3661 ALTER PL,39.15079228,-84.48910445,510,1
879 ROCKDALE AV,39.14377759,-84.4864161,510,1
860 WINDHAM AV,39.14343125,-84.48883624,404,1
